D_R,con1,edo,muni,loca,ageb,hr_ini1,min_ini1,hr_ter1,min_ter1,dura1,resul1,hr_ini2,min_ini2,hr_ter2,min_ter2,dura2,resul2,hr_ini3,min_ini3,hr_ter3,min_ter3,dura3,resul3,hr_ini4,min_ini4,hr_ter4,min_ter4,dura4,resul4,p1,p2,p3_1,p3_2,p3_3,p3_4,p3_5,p3_6,p3_7,p3_8,p3_9,p3_10,p4_1,p4_2,p4_3,p5_1,p5_2,p5_3,p5_4,p6_1,p6_2,p6_3,p6_4,p6_5,p6_6,p6_7,p7_1,p7_2,p7_3,p7_4,p7_5,p7_6,p7_7,p7_8,p7_9,p7_10,p8,p8_2,p9,p9_1,p9_2,p10_1,p10_2,p10_3,p10_4,p10_5,p10_6,p10_7,p10_8,p10_9,p10_10,p10_11,p10_12,p10_13,p10_14,p10_15,p11,p11a_1,p12,p12a_1,p13,p13a_1,p14,p15_1,p15_2,p15_3,p15_4,p15_5,p15_6,p15_7,p16,p16_1,p16_2,p16_3,p17,p18,p19_1,p19_2,p19_3,p20_1,p20_2,p20_3,p20_1a_1,p20_2a_1,p20_3a_1,p21,p21_1,p21_2,p21_3,p22,p23,p24,p25,p26_1,p26_2,p26_3,p26_4,p26_5,p26_6,p27,p27a_1,p28,p29,p29a,p30,p30aa_1,p31,p32_1,p32_2,p32_3,p33,p34,p35_1,p35_2,p35_3,p35_4,p36,p37,p38,p39,p40,p41,p41aa_1,p42,p43_1,p43_2,p43_3,p43_4,p43_5,p43_6,p44,p45,p46,p47,p48,p49_1,p49_2,p49_3,p49_4,p49_5,p50_1,p50_2,p50_3,p50_4,p50_5,p50_6,p50_7,p50_8,p51,p52,p53,p54,p55,p56_1,p56_2,p56_3,p56_4,p56_5,p57,p57a_1,p58,p59,p60_1,p60_2,p60_3,p60_4,p61,p62_1,p62_2,p62_3,p62_4,p62_5,p63_1,p63_2,p63_3,p63_4,p63_5,p64,p65,p66,p67_1,p67_2,p67_3,p67_4,p67_5,p68otra,p68,p68_1,p69a,p69b,p69ba,p70,p71,p71_1_1,p71_1_2,p71_1_3,p72,p73_1,p73_2,p73_3,p73_4,sd1,sd2,sd3,sd4,sd4a,sd5,sd6,sd7,sd8,sd9,sd10,sd11,sd12,sd13,sd14,sd15,sd16,obser,sexo,edad_1,escol,cond_act,est_civil,ing_ind,ing_fam,total2,Region,Estrato,Tam_loc,Pondi2,Pondi_v
 ,327,9,5,1,017-3,16,31,17,4,33,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,3,3,4,4,4,2,3,3,4,4,salir del país sin papeles,frontera,mejores oportunidades,2,2,2,2,1,3,1,3,3,2,3,1,1,1,1,1,1,1,1,1,1,persona que tiene papeles de otro país,5,3,-1,-1,8,6,7,8,7,98,98,7,98,5,5,8,7,98,98,"Tamaulipas, nuevo Laredo",2,99,99,12,15,11,1,1,1,1,1,1,1,2,-1,-1,-1,1,4,7,1,4,44,11,29,4,1,6,2,-1,-1,-1,2,-1,-1,1,3,3,3,3,3,3,11,1,1,ganan cuando las personas envían dinero,11,que en otros países no los tratan igual,4,1,2,1,1,6,2,1,1,1,1,1,3,3,1,1,que los traten mal por no ser americanos,3,2,1,1,5,1,5,3,2,8,1,1,2,1,4,1,9,9,1,1,1,1,1,1,1,9,4,1,98,99,3,1,1,1,1,3,18,1,1,1,5,9,9,9,1,2,1,2,2,1,-1,98,-1,-1,2,1,1,4,3,1,1,1,3,2,2,-1,9,GUSTAVO A MADERO,GUSTAVO A MADERO,2,2,-1,-1,-1,5,1,2,2,2,1,49,1,4,3,-1,2,3,1,4,4,2,4,4000,4,4000,2, ,1,5,3,1,2,3,3,1,2,21,1,107515,59841
 ,328,17,7,1,008-3,13,19,13,56,37,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,6,3,3,3,3,3,3,3,3,4,3,necesidad,viaje,penurias,2,2,2,2,2,3,2,3,3,2,3,1,1,1,3,1,3,1,1,1,3,inmigrante,12,3,-1,-1,5,98,98,98,98,5,98,98,98,98,98,98,5,98,98,sueño americano,4,pobreza,9,999,99,99,3,3,3,3,3,3,3,2,-1,-1,-1,2,4,1,4,7,19,12,27,7,2,6,2,-1,-1,-1,2,-1,-1,3,1,1,1,1,1,1,15,5,1,dinero,11,no están los padres para corregir a sus hijos y estos carecen de una figura de seguridad,3,1,2,2,1,6,2,1,1,1,1,1,1,1,1,2,el clima,4,2,1,5,5,1,5,1,2,2,2,1,2,1,3,1,8,8,2,2,2,2,2,2,2,2,3,3,21,13,1,1,1,1,1,5,14,6,1,1,5,5,5,5,2,1,1,1,1,1,0,0,0,0,0,1,2,4,3,1,1,1,3,1,1,13,9,GUSTAVO A. MADERO,GUSTAVO A MADERO,2,2,-1,-1,-1,5,1,1,1,1,1,50,1,4,3,-1,2,1,1,3,5,3,2,7000,99,10000,3, ,1,5,3,1,1,5,6,1,1,11,1,16234,16540
 ,329,20,188,1,003-6,11,13,12,13,60,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,3,3,4,4,4,3,4,3,4,4,pobreza,falta de oportunidades, ,2,2,2,2,2,3,2,3,3,1,3,2,2,2,3,3,3,1,3,2,3,discriminación,7,3,-1,-1,5,4,5,6,5,6,4,6,0,0,3,6,2,0,5,narcotráfico,5,corrupción,6,999,99,99,2,1,2,3,1,1,2,2,-1,-1,-1,2,4,1,4,3,11,-1,-1,1,-1,-1,2,-1,-1,-1,2,-1,-1,1,3,3,1,2,2,2,30,3,1,97,97,encontrar un buen empleo,3,1,2,2,2,5,2,1,1,1,1,1,1,3,1,1,adaptarse al país,4,2,3,3,3,2,3,3,2,2,2,3,4,2,4,2,4,4,3,3,3,2,2,3,1,3,3,3,16,11,1,1,1,1,1,5,18,1,1,4,3,3,4,3,2,1,1,1,1,1,5,5,5,5,5,2,3,3,3,2,1,1,3,1,1,13,20,HUAJAPAN,HUAJUAPAN DE LEON,2,2,-1,-1,-1,5,2,2,2,2,1,42,1,4,3,-1,2,5,1,4,4,2,1,999999,99,999999,99, ,1,4,3,1,1,999999,999999,1,4,43,3,34869,25001
 ,330,20,286,1,004-1,18,25,19,18,53,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,3,3,3,3,3,3,3,3,3,3,desesperación,pobreza, ,1,1,1,1,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,pobreza,1,2,98,15,5,8,6,8,6,9,6,8,8,6,5,8,9,8,7,"muerte, necesidad, contrabando",6,oportunidad,4,42,3,29,1,1,1,3,1,3,8,2,-1,-1,-1,1,1,1,4,7,13,12,11,3,2,1,2,-1,-1,-1,2,-1,-1,1,1,1,1,1,1,1,18,2,1,los dólares que envían,11,perdemos a nuestros brazos jóvenes en el camino al sueño americano,2,1,2,2,1,5,2,4,4,4,4,8,2,1,1,2,bandas delictivas,2,2,1,3,5,5,5,5,2,1,2,4,2,1,3,1,1,3,2,2,3,3,3,2,3,2,1,3,23,17,3,2,1,2,2,2,17,5,1,3,4,5,5,5,2,1,1,2,2,1,99,7,-1,-1,8,2,1,2,3,1,2,1,3,2,1,11,20,HUAJUAPAN DE LEON,HUAJUAPAN DE LEON,99,1,15,-1,-1,5,1,2,2,2,1,31,1,4,3,-1,2,2,1,5,2,3,2,1000,1,4000,2, ,1,3,3,1,2,2,3,1,4,43,3,57718,25304
 ,331,24,28,1,221-5,16,22,16,46,24,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,2,3,2,3,3,1,3,3,8,4,ilegal,mojado,migrante,3,3,3,2,3,3,2,3,3,2,3,8,8,8,8,8,8,8,8,8,8,mojado,9,3,-1,-1,7,9,9,7,8,9,7,9,98,6,7,7,7,7,7,Estados Unidos,3,Guatemala,3,38,11,15,2,1,1,8,1,1,1,2,-1,-1,-1,1,4,1,4,10,12,38,13,2,2,3,2,-1,-1,-1,2,-1,-1,2,1,1,1,1,1,8,18,2,1,97,98,el peligro al que se exponen,6,1,9,8,8,6,2,1,1,1,1,3,1,1,1,1,"adaptarse, papeles",4,2,2,3,4,4,5,8,2,8,8,2,2,1,1,1,1,1,2,2,2,2,2,3,8,2,8,1,98,98,3,1,1,1,1,8,36,2,1,1,5,5,5,8,1,2,2,2,2,2,-1,-1,-1,-1,-1,1,4,8,1,1,3,3,3,2,2,-1,16,HUETAMO,HUETAMO,2,2,-1,-1,-1,4,2,2,2,2,2,54,1,4,3,-1,2,5,8,-1,-1,-1,-1,-1,-1,9000,3, ,2,5,3,2,1,-1,6,1,1,11,1,88948,49456
 ,332,20,286,1,004-1,10,13,11,11,58,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,3,3,3,4,3,3,4,3,3,3,prosperar,ilusión, ,1,1,1,1,1,3,1,3,3,2,3,2,2,3,2,1,3,1,1,1,3,maltrato,7,3,-1,-1,5,6,7,6,8,6,7,6,7,6,6,5,6,5,6,inseguridad,5,98,98,998,98,98,1,3,2,1,1,1,2,2,-1,-1,-1,1,2,1,4,-1,98,-1,-1,98,-1,-1,2,-1,-1,-1,2,-1,-1,2,1,1,1,1,1,1,18,2,1,98,98,98,98,1,2,2,2,5,2,1,2,1,1,1,1,3,9,1,inseguridad,2,2,1,5,3,2,2,5,2,3,2,2,2,2,3,2,3,3,2,3,1,3,3,2,3,3,2,2,98,98,2,1,2,1,1,2,98,98,1,1,5,5,5,5,1,2,1,2,2,1,-1,8,-1,-1,5,1,1,1,2,1,2,1,3,2,2,-1,20,HUIJUAPAN DE JUAREZ,HUIJUAPAN DE JUAREZ,1,2,-1,-1,-1,5,1,1,2,2,2,31,1,4,3,-1,2,1,8,-1,-1,-1,-1,-1,-1,2500,1, ,2,3,3,2,1,-1,3,1,4,43,3,84035,25304
 ,333,15,37,18,044-A,11,5,11,36,31,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,2,3,3,4,3,2,4,3,3,3,aspiración a mejorar,salir de su país,proporcionar bienestar a la familia,2,3,3,1,2,3,2,3,3,2,3,2,8,1,1,2,8,1,3,8,1,cambiar de país,5,1,16,13,7,6,6,6,6,5,5,98,4,4,5,5,4,4,5,narcotráfico,5,discriminación,6,38,11,12,1,1,2,3,1,1,2,2,-1,-1,-1,1,3,1,4,11,98,-1,-1,98,-1,-1,2,-1,-1,-1,2,-1,-1,1,1,1,1,2,1,1,24,1,1,97,97,98,98,1,9,2,1,5,2,1,1,1,1,8,3,2,1,2,"discriminación, abusa",3,3,3,2,2,4,3,3,2,1,3,3,8,2,3,2,2,3,2,3,1,2,2,3,1,2,2,2,23,99,3,2,1,1,1,4,19,1,1,1,5,4,5,4,1,2,2,2,2,2,-1,-1,-1,-1,-1,1,1,2,3,2,8,2,3,2,2,-1,15,HUIXQUILUCAN,HUIXQUILUCAN,2,2,-1,-1,-1,1,2,2,2,2,1,29,1,4,3,-1,2,1,1,5,98,2,2,988888,1,988888,98, ,1,3,3,1,1,988888,988888,1,2,23,3,47722,14573
 ,334,17,12,1,037-A,9,56,10,40,44,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,3,3,4,3,2,3,3,3,3,oportunidades,maltratos,carencias,3,3,4,1,2,3,2,3,3,2,3,2,8,1,2,2,1,1,2,1,2,mejorar la calidad de vida,3,3,-1,-1,5,5,5,5,4,6,4,98,98,98,5,5,5,5,7,mojados,7,abusos de los mexicanos,6,19,9,99,2,1,1,2,1,1,2,2,-1,-1,-1,3,4,6,1,4,12,18,11,2,1,1,2,-1,-1,-1,2,-1,-1,3,3,3,2,3,3,3,11,1,1,el dinero que envían sus familiares que viven en estados unidos,11,98,98,1,2,1,1,1,2,1,1,1,1,1,3,1,1,1,98,98,2,4,2,3,2,4,3,2,1,2,2,2,1,4,1,1,2,1,3,1,8,1,1,1,2,3,3,23,17,1,2,3,3,3,8,50,6,1,4,5,8,8,3,1,1,2,1,1,1,6,-1,8,3,6,1,1,3,3,2,2,1,2,2,2,-1,12,IGUALA,IGUALA,3,2,-1,-1,-1,5,2,2,2,2,2,30,1,4,3,-1,2,5,1,5,5,4,9,999999,99,999999,99, ,2,3,3,1,1,999999,999999,1,1,12,2,21618,7171
 ,335,11,17,1,044-9,19,19,20,1,42,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,6,1,2,2,1,2,1,3,1,3,3,carencias,inseguridad, ,2,2,2,2,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,98,98,1,98,13,7,7,7,7,7,6,6,8,0,5,4,7,8,7,8,98,98,98,98,17,30,99,3,3,3,3,3,3,3,2,-1,-1,-1,2,4,4,6,11,12,-1,-1,2,-1,-1,2,-1,-1,-1,2,-1,-1,2,1,1,1,1,1,3,98,98,1,remesas,11,menos mexicanos,2,1,2,2,1,4,2,1,1,1,1,3,2,2,1,1,98,98,2,1,5,5,1,5,5,2,3,2,2,2,2,4,1,1,2,3,3,3,3,3,3,1,3,2,3,23,11,3,1,1,1,1,1,15,5,1,1,1,2,5,5,2,2,2,2,2,2,-1,-1,-1,-1,-1,1,2,3,1,1,1,1,1,2,2,-1,11,IRAPUATO,IRAPUATO,0,2,-1,-1,-1,5,2,2,2,2,2,50,1,4,3,-1,2,6,1,99,99,3,2,1000,1,4000,2, ,2,5,3,1,6,2,3,1,1,11,1,35457,17002
 ,336,11,17,1,044-9,20,10,20,55,45,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,6,2,3,3,3,2,3,4,4,4,4,salud,vida,suerte,2,2,2,2,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,peligro,2,3,-1,-1,7,5,4,1,6,9,8,10,3,2,1,4,6,1,5,hermanos,10,compañeros,10,18,7,11,2,1,1,3,1,1,1,2,-1,-1,-1,1,3,1,2,8,98,-1,-1,98,-1,-1,2,-1,-1,-1,2,-1,-1,3,1,1,1,1,1,1,18,2,1,97,97,97,97,1,2,2,1,6,2,1,1,1,1,3,3,3,2,2,delincuencia,2,2,1,5,5,1,5,5,2,3,1,3,2,2,2,2,2,2,3,3,3,3,2,2,1,2,2,1,18,11,3,1,1,1,1,1,20,2,1,5,4,4,5,5,2,2,2,2,2,2,-1,-1,-1,-1,-1,1,2,4,1,1,1,2,3,2,2,-1,11,IRAPUATO,IRAPUATO,3,2,-1,-1,-1,5,2,2,2,2,2,36,1,4,3,-1,2,5,8,-1,-1,-1,-1,-1,-1,4000,2, ,2,4,3,2,1,-1,3,1,1,11,1,47145,17002
 ,337,11,17,1,014-8,15,20,16,5,45,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,6,1,3,4,2,2,4,4,4,4,4,98, , ,4,3,3,3,1,1,1,3,3,3,3,3,1,1,1,1,3,1,1,3,3,99,99,3,-1,-1,7,6,6,6,7,7,5,7,6,6,7,7,7,8,8,migrantes,7,migrantes,7,19,9,25,1,1,1,1,1,1,1,2,-1,-1,-1,1,3,1,5,8,12,-1,-1,2,-1,-1,2,-1,-1,-1,2,-1,-1,3,3,3,1,1,1,1,11,1,1,una vida mejor,12,el peligro,6,1,2,1,2,4,2,2,2,2,2,1,2,3,1,1,costumbres,4,2,2,2,2,2,2,2,1,3,1,2,2,2,3,2,4,4,1,2,2,2,2,2,2,2,3,1,98,11,3,3,3,3,3,3,32,5,1,5,1,4,5,5,1,2,2,1,2,1,-1,-1,8,-1,7,1,1,4,1,1,1,3,3,2,2,-1,14,IRAPUATO,IRAPUATO,0,2,-1,-1,-1,4,2,2,2,2,2,22,1,4,3,-1,2,6,1,7,2,3,2,850,1,988888,98, ,2,2,3,1,6,2,988888,1,1,11,1,112999,19210
 ,338,11,17,1,044-9,18,40,19,23,43,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,7,3,3,2,3,3,1,3,3,3,3,mejor economía, , ,1,1,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,1,3,3,3,desorden,7,3,-1,-1,99,99,99,1,1,7,1,2,99,1,1,5,9,99,6,sonora,2,Yucatán,2,16,12,11,1,3,3,3,1,1,3,2,-1,-1,-1,2,4,1,4,11,12,-1,-1,2,-1,-1,2,-1,-1,-1,2,-1,-1,2,3,3,3,3,3,3,17,6,1,economía,14,la salud,6,1,9,1,1,6,2,1,1,1,1,2,1,1,1,2,lenguaje,4,3,1,1,3,1,1,1,2,2,3,1,2,1,3,1,1,1,1,2,2,2,2,2,2,2,2,1,16,11,2,1,1,1,1,1,17,5,1,1,9,9,9,9,1,2,2,2,2,2,-1,-1,-1,-1,-1,2,1,3,1,1,1,1,1,2,2,-1,11,IRAPUATO,IRAPUATO,3,2,-1,-1,-1,5,2,2,2,2,1,43,1,4,3,-1,2,5,1,4,4,2,1,150,1,3500,1, ,1,4,3,1,1,2,3,1,1,11,1,25449,17002
 ,339,11,17,1,044-9,17,46,18,29,43,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,2,4,3,4,4,4,3,4,2,discriminación,pobreza, ,2,2,2,2,1,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,98,98,3,-1,-1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,12,15,99,1,1,1,3,2,2,2,2,-1,-1,-1,2,4,1,3,5,14,-1,-1,2,-1,-1,2,-1,-1,-1,2,-1,-1,1,1,1,1,1,1,1,22,6,1,el dinero,11,están lejos de la familia,1,1,2,2,1,4,2,1,1,1,1,1,3,1,2,1,98,98,3,2,2,2,2,2,2,2,3,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,98,98,1,3,3,3,3,3,98,98,2,3,5,5,5,5,3,2,2,2,2,2,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,2,2,-1,11,IRAPUATO,IRAPUATO,5,2,-1,-1,-1,9,2,2,2,2,2,32,1,4,3,-1,2,1,8,-1,-1,-1,-1,-1,-1,988888,98, ,2,3,3,2,1,-1,988888,1,1,11,1,30691,17002
 ,340,11,17,1,014-8,14,43,15,28,45,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,7,3,3,3,3,3,3,3,3,3,3,tren,honduras,otro país,4,4,4,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,corren mucho,13,3,-1,-1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,cd Juárez,2,Chiapas,2,999,99,11,1,1,1,1,1,1,1,2,-1,-1,-1,1,4,1,4,11,14,19,-1,2,7,-1,2,-1,-1,-1,2,-1,-1,3,1,1,1,3,2,1,26,1,1,economía,14,dejar familiares,1,2,2,1,1,5,1,1,1,1,1,2,1,3,2,1,inseguridad,2,3,1,5,3,1,5,4,2,2,9,2,2,1,4,4,4,4,1,2,2,2,2,2,2,2,2,2,16,17,3,1,1,1,1,1,15,5,1,1,4,4,4,4,1,2,2,2,2,2,-1,-1,-1,-1,-1,1,1,4,2,1,1,1,1,2,2,-1,11,IRAPUATO,IRAPUATO,0,2,-1,-1,-1,1,1,1,2,2,1,68,1,4,3,-1,2,5,1,4,4,2,1,999999,99,999999,99, ,1,7,3,1,1,999999,999999,1,1,11,1,68561,19210
 ,341,15,42,16,040-1,13,15,13,47,32,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,3,3,3,3,3,3,3,3,3,3,ir de un lugar a otro, , ,4,4,4,4,3,3,3,3,1,1,1,1,3,3,3,3,3,1,3,3,3,98,98,3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,98,98,98,38,11,22,3,3,3,3,3,3,3,2,-1,-1,-1,1,4,1,9,2,35,25,-1,5,5,-1,2,-1,-1,-1,2,-1,-1,2,1,1,1,1,1,3,11,1,1,97,97,97,97,1,2,2,1,4,2,2,2,2,2,2,2,2,3,1,no saben administrarse,7,4,4,4,4,5,5,5,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,18,99,2,4,4,4,5,5,25,2,2,3,5,5,5,5,2,2,2,2,2,2,-1,-1,-1,-1,-1,2,2,3,1,3,3,3,3,2,2,-1,15,IXTLAHUACA MEXICO,IXTLAHUACA,4,2,-1,-1,-1,1,2,2,2,2,1,41,1,4,3,-1,2,5,1,5,5,2,2,500,1,2000,1, ,1,4,3,1,1,2,2,1,2,23,3,27054,9023
 ,342,15,20,1,025-A,11,44,12,27,43,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,2,1,1,1,1,2,2,99, , ,1,1,1,1,3,3,1,3,3,3,3,1,1,1,2,1,3,1,1,1,3,ladrones,7,3,-1,-1,5,3,2,5,6,5,4,5,3,2,5,2,3,2,3,Estados Unidos,3,Canadá,10,15,19,11,3,3,3,3,3,3,3,2,-1,-1,-1,1,2,1,2,4,12,18,-1,2,1,-1,2,-1,-1,-1,2,-1,-1,2,1,1,1,3,3,1,18,2,1,99,99,99,99,1,1,1,1,6,2,2,1,1,1,1,1,1,2,1,98,98,2,1,2,1,2,2,1,2,3,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,26,11,1,1,1,1,1,1,15,5,1,4,4,4,4,4,1,2,1,2,2,1,-1,6,-1,-1,6,2,1,9,1,1,1,1,1,2,2,-1,9,IZTACALCO,IZTACALCO,2,2,-1,-1,-1,1,2,2,2,2,2,35,1,4,3,-1,2,5,8,-1,-1,-1,-1,-1,-1,7800,2, ,2,4,3,2,1,-1,5,1,2,21,1,45071,27755
 ,343,9,9,1,033-1,12,28,13,11,43,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,4,4,4,4,4,8,8,4,4,8,98, , ,3,3,3,3,1,3,1,3,3,3,3,3,2,2,3,2,3,2,2,2,3,98,98,3,-1,-1,1,2,3,1,2,1,1,1,2,3,3,2,1,1,2,"Tijuana, aduanas",2,98,98,999,99,99,3,3,3,3,3,3,3,2,-1,-1,-1,2,9,1,2,4,98,-1,-1,98,-1,-1,2,-1,-1,-1,2,-1,-1,8,1,2,2,1,3,3,98,98,1,98,98,98,98,8,8,8,8,1,2,1,1,1,1,3,1,3,1,1,el desempleo,1,2,1,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,3,3,3,3,3,3,3,3,3,1,18,98,2,1,1,1,1,1,26,5,1,1,8,8,8,8,1,2,2,2,2,2,-1,-1,-1,-1,-1,2,4,4,2,1,1,1,1,2,2,-1,9,IZTAPALAPA,IZTAPALAPA,3,2,-1,-1,-1,5,1,2,2,2,1,52,1,4,3,-1,2,5,9,-1,-1,-1,-1,-1,-1,988888,98, ,1,5,3,2,1,-1,988888,1,2,22,2,16811,11874
 ,344,15,20,1,016-0,10,6,10,48,42,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,6,2,3,2,2,2,3,3,3,4,3,pobreza, , ,2,2,2,2,1,2,2,3,2,1,3,1,1,1,2,2,2,1,2,2,3,98,98,3,-1,-1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,exportación,10,migración,7,999,99,99,1,2,1,2,1,1,1,2,-1,-1,-1,3,4,7,10,4,12,-1,-1,2,-1,-1,2,-1,-1,-1,2,-1,-1,3,2,3,1,2,2,2,98,98,4,97,97,no hablan ingles,7,2,2,2,1,6,4,1,1,1,1,2,1,2,1,2,el idioma,4,9,4,3,4,3,4,4,2,3,2,3,1,3,4,3,3,4,2,2,2,3,3,2,1,2,3,3,20,98,2,1,2,1,1,1,19,1,1,3,4,4,4,4,2,1,1,1,1,1,5,5,6,5,5,4,4,4,3,1,1,1,1,2,2,-1,9,IZTAPALAPA,IZTAPALAPA,2,2,-1,-1,-1,1,1,2,2,2,2,38,1,4,3,-1,2,5,8,-1,-1,-1,-1,-1,-1,5300,2, ,2,4,3,2,1,-1,4,1,2,21,1,45071,32162
 ,345,14,99,1,280-6,9,33,9,59,26,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,5,2,2,2,2,2,2,2,3,3,2,oportunidad,viaje,discriminación,1,1,1,1,2,3,2,3,3,1,3,1,1,1,1,1,1,1,1,1,1,discriminación,7,3,-1,-1,5,3,5,3,4,5,3,6,10,3,3,5,3,5,5,migra,8,muerte,6,999,99,99,1,1,2,1,1,1,1,2,-1,-1,-1,2,3,1,4,2,14,-1,-1,2,-1,-1,2,-1,-1,-1,2,-1,-1,3,1,1,1,1,3,3,13,4,1,98,98,98,98,1,1,1,1,3,2,1,1,1,1,1,1,2,2,1,inseguridad,2,1,2,3,3,2,2,2,2,2,2,3,2,3,2,2,2,2,1,1,1,1,1,1,1,1,3,2,98,98,2,1,1,1,1,1,98,98,1,1,2,3,2,2,1,2,2,2,2,2,-1,-1,-1,-1,-1,1,2,1,1,1,1,1,1,2,2,-1,14,JALISCO SAN AGUSTIN,SAN AGUSTIN,2,2,-1,-1,-1,1,2,2,2,1,1,34,1,4,3,-1,2,5,1,4,4,2,2,300,1,5000,2, ,1,3,3,1,1,2,4,1,1,13,3,94965,25440
 ,346,14,99,1,280-6,9,5,9,30,25,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,3,3,3,3,falta de oportunidades,salir adelante, ,3,3,2,2,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,cruzar la frontera,5,3,-1,-1,5,5,6,6,6,5,5,5,5,6,6,99,98,98,98,98,98,98,98,23,20,99,2,2,1,3,1,1,1,2,-1,-1,-1,2,4,5,6,8,15,12,-1,2,2,-1,2,-1,-1,-1,2,-1,-1,1,3,3,1,3,3,3,12,2,1,97,97,desintegración familiar,1,2,2,1,2,3,1,1,1,1,1,1,1,2,1,1,discriminación,3,3,3,4,4,2,4,4,2,1,1,2,2,2,1,2,9,2,1,3,1,3,1,2,1,3,2,2,12,99,1,1,1,1,1,3,98,98,2,2,2,2,2,2,1,2,2,1,2,1,-1,-1,8,-1,8,2,2,1,1,2,3,3,3,2,2,-1,14,JALISCO TLAJOMULCO,TLAJOMULCO,99,2,-1,-1,-1,1,1,2,2,2,1,30,1,4,3,-1,2,1,5,-1,-1,-1,-1,-1,-1,9500,3, ,1,3,3,2,1,-1,6,1,1,13,3,94965,25440
